Country,Year,Area (thousands of km2),Population in 2018,GDP per capita in 2018,Population density (inhabitants per km2) in 2017,Vehicle ownership (per thousand inhabitants) in 2016,Road deaths per Million Inhabitants in 2018
United Kingdom,2018,248.5,66273576,32400,273,544,28
Denmark,2018,42.9,5781190,47600,137,508,30
Ireland,2018,69.8,4830392,59400,70,525,31
Netherlands,2018,41.5,17181084,41500,508,543,31
Sweden,2018,438.6,10120242,43300,25,542,32
Malta,2018,0.3,475701,21600,1462,726,38
Germany,2018,357.3,82.792351,35900,237,610,39
Spain,2018,506.0,46658447,25000,93,611,39
Finland,2018,338.4,5513130,36600,18,732,43
Slovenia,2018,20.3,2066880,20200,103,587,44
Austria,2018,83.9,8822267,38000,107,665,45
Slovakia,2018,49.0,5443120,15600,113,455,46
France,2018,632.8,66926166,32800,123,590,48
EU 28 Total,2018,4463.4,512379225,28200,121,587,49
Estonia,2018,45.2,1319133,15100,30,620,51
Belgium,2018,30.5,11398589,35300,376,585,52
Italy,2018,302.1,60483973,26700,206,707,55
Cyprus,2018,9.3,864236,23300,128,726,57
Portugal,2018,92.2,10291027,17900,112,479,59
Luxembourg,2018,2.6,602005,80800,245,740,60
Lithuania,2018,65.3,2808901,13300,45,501,61
Czech Republic,2018,78.9,10610055,17600,137,570,62
Greece,2018,132.0,10741165,17800,83,605,64
Hungary,2018,93.0,9778371,12500,108,394,64
Poland,2018,312.7,37976687,12400,124,672,76
Croatia,2018,56.5,4105493,11500,74,416,77
Latvia,2018,64.6,1934379,12300,31,387,78
Bulgaria,2018,111.0,7050034,6500,65,516,88
Romania,2018,238.4,19530631,8700,85,329,96
